key,name,level,minimum,스타선수,랭커,엘리트,수준급,L1
map1,빌리지 고가의 질주,R,1:35:00,1:40:99,1:42:99,1:44:99,1:47:99,1:50:99
map2,WKC 코리아 서킷,L3,1:45:00,1:49:99,1:50:99,1:52:99,1:55:99,1:58:99
map3,사막 빙글빙글 공사장,L2,1:52:00,1:57:99,2:00:99,2:04:99,2:08:99,2:13:99
map4,대저택 은밀한 지하실,L2,1:55:00,2:00:99,2:03:99,2:07:99,2:10:99,2:14:99
map5,노르테유 익스프레스,L1,1:45:00,1:53:99,1:56:99,1:59:99,2:04:99,2:09:99
map6,빌리지 운명의 다리,L3,1:59:00,2:05:99,2:07:99,2:10:99,2:14:99,2:18:99
map7,해적 로비 절벽의 전투,L2,1:50:00,1:56:99,1:58:99,2:01:99,2:04:99,2:08:99
map8,쥐라기 공룡 결투장,L3,1:48:00,1:53:99,1:55:99,1:58:99,2:01:99,2:04:99
map9,빌리지 남산,R,1:29:99,1:36:99,1:38:99,1:40:99,1:43:99,1:47:99
map10,비치 해변 드라이브,R,1:45:99,1:53:99,1:55:99,1:57:99,2:00:99,2:03:99
map11,WKC 싱가폴 서킷,R,1:55:99,2:02:99,2:04:99,2:06:99,2:09:99,2:13:99
map12,1920 아슬아슬 비행장,R,2:19:99,2:25:99,2:27:99,2:29:99,2:32:99,2:36:99
map13,차이나 라사,R,1:40:99,1:49:99,1:51:99,1:53:99,1:56:99,2:00:99
map14,월드 두바이 다운타운,L3,1:40:99,1:46:99,1:48:99,1:50:99,1:53:99,1:57:99
map15,도검 야외수련관,L3,1:25:99,1:32:99,1:34:99,1:37:99,1:40:99,1:44:99
map17,월드 리오 다운힐,L3,1:00:99,1:10:99,1:11:99,1:13:99,1:15:99,1:18:99
map18,문힐시티 폭우속의 질주,L3,1:25:99,1:32:99,1:34:99,1:37:99,1:40:99,1:44:99
map19,메카닉 잊혀진 도시의 중심부,L3,1:50:99,1:55:99,1:57:99,2:00:99,2:03:99,2:07:99
map20,도검 용의 길,L3,0:55:99,1:03:99,1:05:99,1:07:99,1:09:99,1:12:99
map21,네모 장난감 선물공장,L3,1:05:99,1:12:99,1:13:99,1:15:99,1:18:99,1:21:99
map22,차이나 서안 병마용,L2,1:35:99,1:41:99,1:43:99,1:46:99,1:49:99,1:53:99
map23,빌리지 만리장성,L2,1:38:99,1:44:99,1:46:99,1:48:99,1:52:99,1:56:99
map24,님프 바다신전의 비밀,L2,2:15:99,2:20:99,2:23:99,2:26:99,2:29:99,2:33:99
map25,포레스트 지그재그,L2,2:07:99,2:13:99,2:16:99,2:19:99,2:23:99,2:28:99
map26,WKC 브라질 서킷,L2,1:44:99,1:49:99,1:51:99,1:53:99,1:56:99,2:00:99
map27,차이나 황산,L2,1:04:99,1:10:99,1:11:99,1:13:99,1:16:99,1:19:99
map28,해적 숨겨진 보물,L2,1:55:99,2:02:99,2:05:99,2:08:99,2:13:99,2:18:99
map29,빌리지 붐힐터널,L2,1:05:99,1:10:99,1:12:99,1:15:99,1:18:99,1:22:99
map30,황금문명 비밀장치의 위협,L2,1:45:99,1:53:99,1:55:99,1:58:99,2:02:99,2:06:99
map31,아이스 갈라진 빙산,L2,1:30:99,1:36:99,1:38:99,1:41:99,1:44:99,1:48:99
map32,네모 산타의 비밀공간,L2,1:30:99,1:37:99,1:39:99,1:42:99,1:45:99,1:49:99
map33,동화 이상한 나라의 문,L1,1:54:99,1:59:99,2:02:99,2:06:99,2:11:99,2:16:99
map34,광산 꼬불꼬불 다운힐,L1,1:07:99,1:13:99,1:15:99,1:19:99,1:23:99,1:28:99
map35,팩토리 미완성 5구역,L1,1:12:99,1:18:99,1:20:99,1:22:99,1:25:99,1:29:99
map36,포레스트 아찔한 다운힐,L1,1:30:99,1:36:99,1:39:99,1:42:99,1:46:99,1:52:99
map37,공동묘지 마왕의 초대,L1,1:45:99,1:51:99,1:53:99,1:56:99,2:00:99,2:05:99
map38,아이스 설산 다운힐,L1,2:07:99,2:13:99,2:16:99,2:19:99,2:23:99,2:27:99
